id,nama_lokasi,provider,alamat,kabupaten_kota,provinsi,latitude,longitude,type_charge,watt,jumlah_charger,jumlah_konektor,nama_chargerbox
1,SPKLU PLN UID JAKARTA RAYA,SPKLU PLN,"Jl. M.I. Ridwan Rais No.1, Gambir",Kota ADM Jakarta Pusat,DKI Jakarta ,-6.18039,106.833191,medium,22 kW,1,1,CS AC Charger
2,SPKLU AEON Mall BSD,Other/General,"Jl. BSD Raya Utama, Pagedangan",Kab Tangerang,Banten,-6.30408,106.643679,medium,22 kW,1,1,Teison 22 KW
3,SPKLU Supermall Karawaci,Other/General,"Jl. Boulevard Diponegoro, Bencongan",Kab Tangerang,Banten,-6.225712,106.607328,medium,25 kW,2,1,Delta AC Max
3,SPKLU Supermall Karawaci,Other/General,"Jl. Boulevard Diponegoro, Bencongan",Kab Tangerang,Banten,-6.225712,106.607328,medium,25 kW,2,2,Delta DC Wallbox
4,SPKLU Tangcity,Other/General,"Jl. Jenderal Sudirman No.1, Cikokol",Kota Tangerang,Banten,-6.193182,106.633549,medium,25 kW,2,1,Chargecore DC-25
4,SPKLU Tangcity,Other/General,"Jl. Jenderal Sudirman No.1, Cikokol",Kota Tangerang,Banten,-6.193182,106.633549,medium,25 kW,2,1,Proteksindo AC-22
5,SPKLU PLN UIW S2JB Rivai,SPKLU PLN,Jalan Kapt. Arivai no. 37 Palembang,Kota Palembang,Sumatera Selatan,-2.979122,104.748281,ultrafast,180 kW,2,2,CS Energy DC 180 kW
5,SPKLU PLN UIW S2JB Rivai,SPKLU PLN,Jalan Kapt. Arivai no. 37 Palembang,Kota Palembang,Sumatera Selatan,-2.979122,104.748281,ultrafast,180 kW,2,1,Free Standing DC Fast Charger
6,SPKLU PLN ULP Medan Kota,SPKLU PLN,Jl. Listrik No. 8 Medan,Kota Medan,Sumatera Utara,3.5857222,98.6761407,medium,30 kW,4,1,Delta AC Max
6,SPKLU PLN ULP Medan Kota,SPKLU PLN,Jl. Listrik No. 8 Medan,Kota Medan,Sumatera Utara,3.5857222,98.6761407,medium,30 kW,4,1,AC Mini Plus
6,SPKLU PLN ULP Medan Kota,SPKLU PLN,Jl. Listrik No. 8 Medan,Kota Medan,Sumatera Utara,3.5857222,98.6761407,medium,30 kW,4,2,Delta DC Wallbox
6,SPKLU PLN ULP Medan Kota,SPKLU PLN,Jl. Listrik No. 8 Medan,Kota Medan,Sumatera Utara,3.5857222,98.6761407,medium,30 kW,4,2,PHIHONG DC Wall Mount
7,SPKLU Rest Area KM 20 B TRANS-SUMATERA,Other/General,"Rawi, Kec. Penengahan, Lampung",Kab Lampung Selatan,Lampung,-5.725474,105.66896,ultrafast,100 kW,3,2,Delta DC Wallbox
7,SPKLU Rest Area KM 20 B TRANS-SUMATERA,Other/General,"Rawi, Kec. Penengahan, Lampung",Kab Lampung Selatan,Lampung,-5.725474,105.66896,ultrafast,100 kW,3,1,Wall Mount AC Charger
7,SPKLU Rest Area KM 20 B TRANS-SUMATERA,Other/General,"Rawi, Kec. Penengahan, Lampung",Kab Lampung Selatan,Lampung,-5.725474,105.66896,ultrafast,100 kW,3,2,Signet DC Fast Charger - 100 kW
8,SPKLU REST AREA (TRAVOY) KM 207 A Ruas Palikanci,Travoy,"Rest Area KM 207, Setupatok, Kec. Mundu, Cirebon, Jawa Barat",Kab Cirebon,Jawa Barat,-6.775515,108.562221,fast,50 kW,4,2,ABB Terra 50
8,SPKLU REST AREA (TRAVOY) KM 207 A Ruas Palikanci,Travoy,"Rest Area KM 207, Setupatok, Kec. Mundu, Cirebon, Jawa Barat",Kab Cirebon,Jawa Barat,-6.775515,108.562221,fast,50 kW,4,2,Delta DC City Charger
8,SPKLU REST AREA (TRAVOY) KM 207 A Ruas Palikanci,Travoy,"Rest Area KM 207, Setupatok, Kec. Mundu, Cirebon, Jawa Barat",Kab Cirebon,Jawa Barat,-6.775515,108.562221,fast,50 kW,4,1,Delta DC Wallbox
8,SPKLU REST AREA (TRAVOY) KM 207 A Ruas Palikanci,Travoy,"Rest Area KM 207, Setupatok, Kec. Mundu, Cirebon, Jawa Barat",Kab Cirebon,Jawa Barat,-6.775515,108.562221,fast,50 kW,4,2,Proteksindo DC-50
9,SPKLU PLN ULP DENPASAR,SPKLU PLN,JL. P.B. Sudirman,Kota Denpasar,Bali,-8.662908,115.217891,medium,30 kW,4,1,Delta AC Max
9,SPKLU PLN ULP DENPASAR,SPKLU PLN,JL. P.B. Sudirman,Kota Denpasar,Bali,-8.662908,115.217891,medium,30 kW,4,2,1. Delta DC Wallbox
9,SPKLU PLN ULP DENPASAR,SPKLU PLN,JL. P.B. Sudirman,Kota Denpasar,Bali,-8.662908,115.217891,medium,30 kW,4,2,2. Delta DC Wallbox
9,SPKLU PLN ULP DENPASAR,SPKLU PLN,JL. P.B. Sudirman,Kota Denpasar,Bali,-8.662908,115.217891,medium,30 kW,4,2,PHIHONG DC Wall Mount
10,SPKLU REST AREA (TRAVOY) KM 519 A Ruas Solo-Ngawi,Travoy,"Dusun III, Karang Malang, Masaran",Kab Sragen,Jawa Tengah,-7.480695,110.919125,fast,50 kW,2,2,CS DC Charger
10,SPKLU REST AREA (TRAVOY) KM 519 A Ruas Solo-Ngawi,Travoy,"Dusun III, Karang Malang, Masaran",Kab Sragen,Jawa Tengah,-7.480695,110.919125,fast,50 kW,2,2,Delta DC City Charger
11,SPKLU REST AREA (TRAVOY) KM 519 B Ruas Solo-Ngawi,Travoy,"Dusun III, Karang Malang, Masaran",Kab Sragen,Jawa Tengah,-7.4808897,110.9208293,fast,50 kW,5,2,ABB Terra 50
11,SPKLU REST AREA (TRAVOY) KM 519 B Ruas Solo-Ngawi,Travoy,"Dusun III, Karang Malang, Masaran",Kab Sragen,Jawa Tengah,-7.4808897,110.9208293,fast,50 kW,5,2,CS DC Charger
11,SPKLU REST AREA (TRAVOY) KM 519 B Ruas Solo-Ngawi,Travoy,"Dusun III, Karang Malang, Masaran",Kab Sragen,Jawa Tengah,-7.4808897,110.9208293,fast,50 kW,5,2,Delta DC City Charger
11,SPKLU REST AREA (TRAVOY) KM 519 B Ruas Solo-Ngawi,Travoy,"Dusun III, Karang Malang, Masaran",Kab Sragen,Jawa Tengah,-7.4808897,110.9208293,fast,50 kW,5,1,Delta DC Wallbox
11,SPKLU REST AREA (TRAVOY) KM 519 B Ruas Solo-Ngawi,Travoy,"Dusun III, Karang Malang, Masaran",Kab Sragen,Jawa Tengah,-7.4808897,110.9208293,fast,50 kW,5,1,PHIHONG AC Wall Mount
12,SPKLU REST AREA (TRAVOY) KM 379 A Ruas Batang-Semarang,Travoy,Jl. Tol Semarang - Batang,Kab Batang,Jawa Tengah,-6.9575498,110.0149212,ultrafast,180 kW,5,1,AC Mini Plus
12,SPKLU REST AREA (TRAVOY) KM 379 A Ruas Batang-Semarang,Travoy,Jl. Tol Semarang - Batang,Kab Batang,Jawa Tengah,-6.9575498,110.0149212,ultrafast,180 kW,5,1,AC Mini Plus
12,SPKLU REST AREA (TRAVOY) KM 379 A Ruas Batang-Semarang,Travoy,Jl. Tol Semarang - Batang,Kab Batang,Jawa Tengah,-6.9575498,110.0149212,ultrafast,180 kW,5,2,CS DC Charger
12,SPKLU REST AREA (TRAVOY) KM 379 A Ruas Batang-Semarang,Travoy,Jl. Tol Semarang - Batang,Kab Batang,Jawa Tengah,-6.9575498,110.0149212,ultrafast,180 kW,5,2,Proteksindo DC EVDX-180
12,SPKLU REST AREA (TRAVOY) KM 379 A Ruas Batang-Semarang,Travoy,Jl. Tol Semarang - Batang,Kab Batang,Jawa Tengah,-6.9575498,110.0149212,ultrafast,180 kW,5,2,Titan V5 Hyperion 180kW
13,SPKLU PLN ULP Embong Wungu,SPKLU PLN,"Jl. Dr. Soetomo No. 42,Tegalsari",Kota Surabaya,Jawa Timur,-7.28132,112.739942,medium,25 kW,1,2,Delta DC Wallbox
14,SPKLU PLN UP3 BANDUNG,SPKLU PLN,JL Soekarno Hatta No.436 Bandung,Kota Bandung,Jawa Barat,-6.948859,107.611765,fast,50 kW,7,1,Altro AC Charger
14,SPKLU PLN UP3 BANDUNG,SPKLU PLN,JL Soekarno Hatta No.436 Bandung,Kota Bandung,Jawa Barat,-6.948859,107.611765,fast,50 kW,7,1,Altro AC Charger
14,SPKLU PLN UP3 BANDUNG,SPKLU PLN,JL Soekarno Hatta No.436 Bandung,Kota Bandung,Jawa Barat,-6.948859,107.611765,fast,50 kW,7,1,Altro AC Charger
14,SPKLU PLN UP3 BANDUNG,SPKLU PLN,JL Soekarno Hatta No.436 Bandung,Kota Bandung,Jawa Barat,-6.948859,107.611765,fast,50 kW,7,1,Altro AC Charger
14,SPKLU PLN UP3 BANDUNG,SPKLU PLN,JL Soekarno Hatta No.436 Bandung,Kota Bandung,Jawa Barat,-6.948859,107.611765,fast,50 kW,7,1,Altro AC Charger
14,SPKLU PLN UP3 BANDUNG,SPKLU PLN,JL Soekarno Hatta No.436 Bandung,Kota Bandung,Jawa Barat,-6.948859,107.611765,fast,50 kW,7,1,Chargecore AC-22
14,SPKLU PLN UP3 BANDUNG,SPKLU PLN,JL Soekarno Hatta No.436 Bandung,Kota Bandung,Jawa Barat,-6.948859,107.611765,fast,50 kW,7,3,Delta DC City Charger
15,SPKLU REST AREA (TRAVOY) KM 389 B Ruas Batang-Semarang,Travoy,Jl. Tol Batang - Semarang,Kab Kendal,Jawa Tengah,-6.984773,110.103906,fast,50 kW,5,2,ABB Terra 50
15,SPKLU REST AREA (TRAVOY) KM 389 B Ruas Batang-Semarang,Travoy,Jl. Tol Batang - Semarang,Kab Kendal,Jawa Tengah,-6.984773,110.103906,fast,50 kW,5,1,Delta AC Max
15,SPKLU REST AREA (TRAVOY) KM 389 B Ruas Batang-Semarang,Travoy,Jl. Tol Batang - Semarang,Kab Kendal,Jawa Tengah,-6.984773,110.103906,fast,50 kW,5,1,AC Mini Plus
15,SPKLU REST AREA (TRAVOY) KM 389 B Ruas Batang-Semarang,Travoy,Jl. Tol Batang - Semarang,Kab Kendal,Jawa Tengah,-6.984773,110.103906,fast,50 kW,5,1,AC Mini Plus
15,SPKLU REST AREA (TRAVOY) KM 389 B Ruas Batang-Semarang,Travoy,Jl. Tol Batang - Semarang,Kab Kendal,Jawa Tengah,-6.984773,110.103906,fast,50 kW,5,2,CS DC Charger
16,Rest Area KM 208 B Ruas Palikanci,Other/General,"Rest Area KM 208, Setupatok, Kec. Mundu, Cirebon, Jawa Barat",Kab Cirebon,Jawa Barat,-6.778025,108.567214,ultrafast,200 kW,3,2,ABB Terra 50
16,Rest Area KM 208 B Ruas Palikanci,Other/General,"Rest Area KM 208, Setupatok, Kec. Mundu, Cirebon, Jawa Barat",Kab Cirebon,Jawa Barat,-6.778025,108.567214,ultrafast,200 kW,3,2,Delta DC City Charger
